gene	p_value	rank
piR-hsa-643147	0.00562775440337066	150
piR-hsa-165925	0.00567475169492698	151
piR-hsa-154568	0.00580850338056371	152
piR-hsa-134766	0.00602475590531279	153
piR-hsa-191250	0.00609071191381257	154
hsa-mir-1290	0.00635669051406174	155
piR-hsa-156715	0.00638184823299183	156
piR-hsa-53759	0.00652104404383387	157
piR-hsa-76242	0.00653086080409371	158
piR-hsa-738677	0.0065875481091398	159
piR-hsa-154273	0.00660494057525199	160
piR-hsa-1317564	0.00660496799442052	161
piR-hsa-165768	0.00661877893798373	162
piR-hsa-163794	0.00662826776875716	163
piR-hsa-153778	0.0070917616762038	164
hsa-mir-181b-1	0.00717775545038714	165
piR-hsa-136728	0.00727899156347869	166
hsa-mir-4429	0.00751190058709498	167
piR-hsa-135998	0.00757365540300564	168
piR-hsa-370171	0.00762333822410009	169
piR-hsa-1263035	0.00768528987536774	170
piR-hsa-806762	0.00777541203059349	171
hsa-mir-514a-1	0.00782241891477959	172
hsa-mir-376a-2	0.0078568216171499	173
piR-hsa-154530	0.00789252099102695	174
piR-hsa-137746	0.00792701889035874	175
hsa-mir-210	0.00804174696131916	176
piR-hsa-177319	0.00804447019356333	177
piR-hsa-183224	0.00820921929097742	178
piR-hsa-195270	0.0082495201358242	179
piR-hsa-1321675	0.00825316638440482	180
piR-hsa-521329	0.00826836721203768	181
piR-hsa-398708	0.00827138835123148	182
piR-hsa-150436	0.00828134393459365	183
hsa-mir-128-2	0.00832808339723968	184
piR-hsa-181647	0.00836568500600484	185
piR-hsa-133378	0.00850393907728227	186
hsa-mir-1224	0.00855814743572737	187
hsa-mir-20a	0.00867824584756779	188
hsa-mir-181d	0.00881934300504915	189
piR-hsa-137719	0.00895496685251904	190
piR-hsa-5261388	0.00897347072205894	191
hsa-mir-181b-2	0.0090749365083962	192
piR-hsa-174496	0.00908233295673972	193
piR-hsa-793973	0.00923747957309556	194
hsa-let-7g	0.00924476884085023	195
piR-hsa-768627	0.00934973058761762	196
piR-hsa-179930	0.00949904245808099	197
piR-hsa-147401	0.00965853303388272	198
piR-hsa-341704	0.00973975256220083	199
piR-hsa-750146	0.00981666936345837	200
piR-hsa-806621	0.00981747937235125	201
piR-hsa-781921	0.0099402775134403	202
hsa-mir-543	0.00994625221954401	203
piR-hsa-159464	0.00995056899376963	204
piR-hsa-397348	0.00997023496249319	205
piR-hsa-2860221	0.0101050621140412	206
hsa-mir-326	0.0102222225648512	207
piR-hsa-796915	0.0103143060954478	208
hsa-mir-935	0.0104259474746338	209
piR-hsa-142694	0.0104369563619356	210
piR-hsa-793810	0.0105223108458035	211
hsa-mir-665	0.0106290857792855	212
hsa-mir-378c	0.0106565592868667	213
piR-hsa-770528	0.0108155911672754	214
piR-hsa-798811	0.0109770170053839	215
piR-hsa-2867121	0.0112844550482126	216
piR-hsa-154962	0.0113386877384675	217
piR-hsa-810146	0.0114169802741721	218
hsa-mir-500a	0.0115488319996215	219
piR-hsa-772308	0.0117942886272185	220
piR-hsa-1239296	0.0119535969141208	221
hsa-mir-320d-1	0.0119970654023642	222
piR-hsa-798953	0.0120588278375385	223
piR-hsa-133895	0.0123368724021255	224
piR-hsa-165360	0.0124099288638613	225
piR-hsa-150409	0.0125958518511727	226
piR-hsa-1239458	0.0127154863390169	227
piR-hsa-379954	0.0129748060825529	228
piR-hsa-776183	0.0131500304627565	229
piR-hsa-183178	0.013363894337877	230
piR-hsa-760772	0.0138773627477892	231
piR-hsa-166257	0.0139494520272716	232
piR-hsa-387371	0.0140563162821	233
piR-hsa-594006	0.014194124134617	234
piR-hsa-1324698	0.0145226462011748	235
piR-hsa-2829083	0.0145664744984313	236
hsa-mir-375	0.0146435299769695	237
piR-hsa-472099	0.0146993674662581	238
hsa-mir-150	0.0147945964817772	239
hsa-mir-378d-2	0.0147954066524055	240
piR-hsa-143582	0.0148184062276977	241
hsa-mir-485	0.0149378969877336	242
piR-hsa-140687	0.0150493245675956	243
piR-hsa-190274	0.0152107890196942	244
piR-hsa-801880	0.0152325424515672	245
hsa-mir-708	0.0153596362792069	246
piR-hsa-164616	0.0154312267702416	247
piR-hsa-1285617	0.0155521916302033	248
piR-hsa-810295	0.0156327308273639	249
piR-hsa-399274	0.015738972817938	250
hsa-mir-1185-1	0.0157431150999682	251
piR-hsa-722685	0.0157791194160212	252
hsa-mir-98	0.0159236738522526	253
hsa-mir-655	0.0161196815215804	254
piR-hsa-179230	0.0162152027661713	255
piR-hsa-151989	0.0164087313927426	256
piR-hsa-749568	0.0165606068166884	257
piR-hsa-338392	0.0167348813700511	258
hsa-mir-542	0.0167352894868969	259
piR-hsa-161612	0.0168948315123466	260
piR-hsa-740136	0.0169358293842402	261
piR-hsa-795663	0.0171473394241195	262
hsa-mir-1247	0.0171954289786144	263
hsa-mir-4497	0.0173885493863682	264
piR-hsa-158374	0.0174244620324274	265
hsa-mir-381	0.0174492687847583	266
piR-hsa-148573	0.0174692335312057	267
piR-hsa-778470	0.0178245436323634	268
piR-hsa-174299	0.0180281182019876	269
piR-hsa-162879	0.018418806749982	270
piR-hsa-190033	0.018554911045547	271
